t,actual,regular
1,0.69,0.69
2,0.69,0.69
3,0.69,0.69
4,0.69,0.69
5,0.69,0.69
6,0.69,0.69
7,0.69,0.69
8,0.69,0.69
9,0.69,0.69
10,0.69,0.69
11,0.69,0.69
12,0.69,0.69
13,0.69,0.69
14,0.69,0.69
15,0.69,0.69
16,0.69,0.69
17,0.69,0.69
18,0.69,0.69
19,0.69,0.69
20,0.69,0.69
21,0.69,0.69
22,0.69,0.69
23,0.69,0.69
24,0.69,0.69
25,0.69,0.69
26,0.69,0.69
27,0.69,0.69
28,0.69,0.69
29,0.69,0.69
30,0.69,0.69
31,0.69,0.69
32,0.69,0.69
33,0.69,0.69
34,0.69,0.69
35,0.69,0.69
36,0.69,0.69
37,0.69,0.69
38,0.69,0.69
39,0.69,0.69
40,0.69,0.69
41,0.69,0.69
42,0.69,0.69
43,0.69,0.69
44,0.69,0.69
45,0.69,0.69
46,0.69,0.69
47,0.69,0.69
48,0.69,0.69
49,0.69,0.69
50,0.69,0.69
51,0.69,0.69
52,0.69,0.69
53,0.69,0.69
54,0.69,0.69
55,0.69,0.69
56,0.69,0.69
57,0.69,0.69
58,0.69,0.69
59,0.69,0.69
60,0.69,0.69
61,0.69,0.69
62,0.69,0.69
63,0.69,0.69
64,0.69,0.69
65,0.69,0.69
66,0.69,0.69
67,0.69,0.69
68,0.69,0.69
69,0.69,0.69
70,0.69,0.69
71,0.69,0.69
72,0.69,0.69
73,0.69,0.69
74,0.69,0.69
75,0.69,0.69
76,0.69,0.69
77,0.69,0.69
78,0.69,0.69
79,0.69,0.69
80,0.69,0.69
81,0.69,0.69
82,0.69,0.69
83,0.69,0.69
84,0.69,0.69
85,0.69,0.69
86,0.69,0.69
87,0.69,0.69
88,0.69,0.69
89,0.69,0.69
90,0.69,0.69
91,0.69,0.69
92,0.69,0.69
93,0.69,0.69
94,0.69,0.69
95,0.69,0.69
96,0.69,0.69
97,0.69,0.69
98,0.69,0.69
99,0.69,0.69
100,0.69,0.69
101,0.69,0.69
102,0.69,0.69
103,0.69,0.69
104,0.69,0.69
105,0.69,0.69
106,0.69,0.69
107,0.69,0.69
108,0.69,0.69
109,0.69,0.69
110,0.69,0.69
111,0.69,0.69
112,0.69,0.69
113,0.69,0.69
114,0.69,0.69
115,0.69,0.69
116,0.69,0.69
117,0.69,0.69
118,0.69,0.69
119,0.69,0.69
120,0.69,0.69
121,0.69,0.69
122,0.69,0.69
123,0.69,0.69
124,0.69,0.69
125,0.69,0.69
126,0.69,0.69
127,0.69,0.69
128,0.69,0.69
129,0.69,0.69
130,0.69,0.69
131,0.69,0.69
132,0.69,0.69
133,0.69,0.69
134,0.69,0.69
135,0.69,0.69
136,0.69,0.69
137,0.69,0.69
138,0.69,0.69
139,0.69,0.69
140,0.69,0.69
141,0.69,0.69
142,0.69,0.69
143,0.69,0.69
144,0.69,0.69
145,0.69,0.69
146,0.69,0.69
147,0.69,0.69
148,0.69,0.69
149,0.69,0.69
150,0.69,0.69
151,0.69,0.69
152,0.69,0.69
153,0.69,0.69
154,0.69,0.69
155,0.69,0.69
156,0.69,0.69
157,0.69,0.69
158,0.69,0.69
159,0.69,0.69
160,0.69,0.69
161,0.69,0.69
162,0.69,0.69
163,0.69,0.69
164,0.69,0.69
165,0.69,0.69
166,0.69,0.69
167,0.69,0.69
168,0.69,0.69
169,0.69,0.69
170,0.69,0.69
171,0.69,0.69
172,0.69,0.69
173,0.69,0.69
174,0.69,0.69
175,0.69,0.69
176,0.69,0.69
177,0.69,0.69
178,0.69,0.69
179,0.69,0.69
180,0.69,0.69
181,0.69,0.69
182,0.69,0.69
183,0.69,0.69
184,0.69,0.69
185,0.69,0.69
186,0.69,0.69
187,0.69,0.69
188,0.69,0.69
189,0.69,0.69
190,0.69,0.69
191,0.69,0.69
192,0.69,0.69
193,0.69,0.69
194,0.69,0.69
195,0.69,0.69
196,0.69,0.69
197,0.69,0.69
198,0.69,0.69
199,0.69,0.69
200,0.69,0.69
201,0.69,0.69
202,0.69,0.69
203,0.69,0.69
204,0.69,0.69
205,0.69,0.69
206,0.69,0.69
207,0.69,0.69
208,0.69,0.69
209,0.69,0.69
210,0.69,0.69
211,0.69,0.69
212,0.69,0.69
213,0.69,0.69
214,0.69,0.69
215,0.69,0.69
216,0.69,0.69
217,0.69,0.69
218,0.69,0.69
219,0.69,0.69
220,0.69,0.69
221,0.69,0.69
222,0.69,0.69
223,0.69,0.69
224,0.69,0.69
225,0.69,0.69
226,0.69,0.69
227,0.69,0.69
228,0.69,0.69
229,0.69,0.69
230,0.69,0.69
231,0.69,0.69
232,0.69,0.69
233,0.69,0.69
234,0.69,0.69
235,0.69,0.69
236,0.69,0.69
237,0.69,0.69
238,0.69,0.69
239,0.69,0.69
240,0.69,0.69
241,0.69,0.69
242,0.69,0.69
243,0.69,0.69
244,0.69,0.69
245,0.69,0.69
246,0.69,0.69
247,0.69,0.69
248,0.69,0.69
249,0.69,0.69
250,0.69,0.69
251,0.69,0.69
252,0.69,0.69
253,0.69,0.69
254,0.69,0.69
255,0.69,0.69
256,0.69,0.69
257,0.69,0.69
258,0.69,0.69
259,0.69,0.69
260,0.69,0.69
261,0.69,0.69
262,0.69,0.69
263,0.69,0.69
264,0.69,0.69
265,0.69,0.69
266,0.69,0.69
267,0.69,0.69
268,0.69,0.69
269,0.69,0.69
270,0.69,0.69
271,0.69,0.69
272,0.69,0.69
273,0.69,0.69
274,0.69,0.69
275,0.69,0.69
276,0.69,0.69
277,0.69,0.69
278,0.69,0.69
279,0.69,0.69
280,0.69,0.69
281,0.69,0.69
282,0.69,0.69
283,0.69,0.69
284,0.69,0.69
285,0.69,0.69
286,0.69,0.69
287,0.69,0.69
288,0.69,0.69
289,0.69,0.69
290,0.69,0.69
291,0.69,0.69
292,0.69,0.69
293,0.69,0.69
294,0.69,0.69
295,0.69,0.69
296,0.69,0.69
297,0.69,0.69
298,0.69,0.69
299,0.69,0.69
300,0.69,0.69
301,0.69,0.69
302,0.69,0.69
303,0.69,0.69
304,0.69,0.69
305,0.69,0.69
306,0.69,0.69
307,0.69,0.69
308,0.69,0.69
309,0.69,0.69
310,0.69,0.69
311,0.69,0.69
312,0.69,0.69
313,0.69,0.69
314,0.69,0.69
315,0.69,0.69
316,0.69,0.69
317,0.69,0.69
318,0.69,0.69
319,0.69,0.69
320,0.69,0.69
321,0.69,0.69
322,0.69,0.69
323,0.69,0.69
324,0.69,0.69
325,0.69,0.69
326,0.69,0.69
327,0.69,0.69
328,0.69,0.69
329,0.69,0.69
330,0.69,0.69
331,0.69,0.69
332,0.69,0.69
333,0.69,0.69
334,0.69,0.69
335,0.69,0.69
336,0.69,0.69
337,0.69,0.69
338,0.69,0.69
339,0.69,0.69
340,0.69,0.69
341,0.69,0.69
342,0.69,0.69
343,0.69,0.69
344,0.69,0.69
345,0.69,0.69
346,0.69,0.69
347,0.69,0.69
348,0.69,0.69
349,0.69,0.69
350,0.69,0.69
351,0.69,0.69
